,Style Key,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
0,8,5.3,25,50,13,32,9,47,74,33,0,33,57,8,111
1,8,7.2,25,50,12,57,18,33,55,16,0,24,35,12,84
2,8,5.0,25,50,14,37,6,42,43,11,0,10,54,4,62
3,8,8.5,25,50,13,55,31,47,101,18,1,49,40,16,119
4,8,5.3,25,50,21,69,10,63,120,14,0,19,36,15,218
5,8,7.2,25,50,25,51,26,44,45,9,1,11,51,20,95
6,8,6.0,25,50,22,45,13,46,62,25,1,34,60,4,103
7,8,5.3,25,50,28,40,3,40,58,29,0,36,54,8,97
8,8,5.0,25,50,18,49,5,37,73,22,0,21,37,4,98
9,8,4.8,25,50,25,35,4,38,39,13,1,8,60,16,97
10,8,5.1,25,50,35,31,5,35,50,55,5,52,66,8,77
11,8,4.7,25,50,34,48,9,55,59,25,1,32,68,12,121
12,8,5.1,25,50,10,19,1,21,30,11,4,8,24,2,65
13,8,5.6,25,50,7,30,5,43,43,13,1,13,50,6,93
14,8,7.7,25,50,24,44,27,79,73,88,2,114,92,9,51
15,8,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112
16,8,8.5,25,50,14,55,31,48,105,31,0,37,59,19,115
17,8,5.5,25,50,11,58,6,47,49,5,1,3,50,5,110
18,8,4.9,25,50,17,41,1,55,43,18,1,20,80,7,103
19,8,4.5,25,50,19,42,13,54,62,19,0,25,64,10,135
20,8,5.0,25,50,21,43,3,54,54,7,0,10,60,9,111
21,8,5.1,25,50,21,72,9,48,102,25,1,50,43,13,176
22,8,5.5,25,50,27,65,10,45,75,22,1,29,68,12,132
23,8,4.8,25,50,19,43,5,39,43,13,1,6,45,8,97
24,8,5.5,25,50,37,50,16,60,84,32,0,46,83,19,121
25,8,4.9,25,50,21,27,5,37,33,13,0,13,45,10,70
26,8,5.0,25,50,24,36,9,59,55,20,2,18,80,7,132
27,8,5.5,25,50,22,38,10,47,54,10,1,14,68,2,117
28,8,6.3,25,50,14,53,16,69,67,29,0,23,87,18,103
29,8,7.5,25,50,18,55,23,72,92,21,0,52,75,47,129
30,8,5.25,25,50,11,67,5,35,86,21,0,28,54,4,138
31,8,5.2,25,50,24,47,9,43,71,21,0,26,69,9,134
32,8,6.0,25,50,17,57,14,96,106,23,0,42,122,11,130
33,8,5.6,25,50,36,55,14,34,88,75,4,43,45,97,97
34,8,5.1,25,50,20,36,7,76,47,39,2,40,100,8,76
35,8,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109
36,8,5.2,25,50,27,39,18,47,52,28,4,24,59,6,100
37,8,4.7,25,50,29,30,9,72,77,20,0,20,104,10,141
38,8,4.9,25,50,17,31,5,50,28,10,0,11,51,15,80
39,8,5.0,25,50,26,37,14,65,57,33,0,33,107,3,98
40,8,5.1,25,50,18,45,11,29,39,28,3,21,31,130,91
41,8,8.5,25,50,32,64,28,47,135,49,2,65,55,15,182
42,8,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100
43,8,7.5,25,50,18,55,50,51,87,22,0,39,47,6,96
44,8,5.0,25,50,26,61,6,50,69,27,0,22,73,8,144
45,8,6.6,25,50,21,39,7,40,62,34,0,47,65,5,80
46,8,6.3,25,50,27,61,11,56,61,46,0,40,77,14,110
47,8,5.2,25,50,6,12,1,45,17,36,0,39,50,0,23
48,8,6.8,25,50,19,57,13,42,68,25,0,29,54,12,70
49,8,5.6,25,50,25,50,12,72,61,20,0,21,59,26,139
50,97,9.6,60,100,11,47,37,88,73,31,0,46,90,0,77
51,97,10.2,60,100,8,38,29,39,99,32,0,57,37,7,72
52,97,15.0,60,100,20,55,82,56,170,30,0,107,43,13,62
53,97,14.3,60,100,11,65,94,40,142,25,0,63,23,27,133
54,97,10.2,60,100,6,55,31,107,97,27,1,57,120,14,119
55,97,11.0,60,100,9,49,45,78,83,36,1,52,97,12,117
56,97,10.5,60,100,18,71,52,90,125,72,0,101,105,24,105
57,97,10.9,60,100,14,49,44,47,74,28,0,43,68,17,89
58,97,11.0,60,100,14,58,36,52,117,29,0,54,67,13,122
59,97,9.3,60,100,17,74,41,66,143,38,1,78,72,11,130
60,97,12.2,60,100,7,60,74,48,82,20,0,53,50,20,92
61,97,11.5,60,100,13,51,35,88,80,41,0,65,86,14,83
62,97,11.5,60,100,14,55,34,66,102,36,1,53,82,22,98
63,97,17.3,60,100,4,68,33,31,141,26,0,66,15,20,88
64,97,12.8,60,100,6,39,56,25,101,23,5,45,48,21,134
65,97,11.1,60,100,12,62,66,38,52,20,0,32,42,22,103
66,97,10.2,60,100,23,54,61,70,125,33,0,54,62,22,119
67,97,10.4,60,100,7,47,39,64,97,27,1,46,67,2,110
68,97,10.9,60,100,12,44,35,70,74,39,1,45,81,17,99
69,97,11.5,60,100,11,60,47,67,110,73,2,120,98,6,100
70,97,10.0,60,100,8,34,33,29,70,28,0,41,35,4,67
71,97,14.0,60,100,8,47,36,14,81,14,0,35,10,10,76
72,97,11.5,60,100,5,65,41,60,146,78,0,117,71,25,104
73,97,11.5,60,100,11,68,37,80,109,67,0,83,96,5,87
74,97,11.5,60,100,10,69,31,66,124,43,1,60,77,10,108
75,97,11.0,60,100,14,57,43,86,86,36,1,61,96,16,95
76,97,10.0,60,100,34,41,29,86,50,28,0,34,114,9,83
77,97,11.6,60,100,11,75,43,89,89,46,0,54,106,17,97
78,97,10.3,60,100,9,42,40,84,113,34,0,73,93,11,80
79,97,11.4,60,100,12,71,61,57,98,48,1,59,59,14,89
80,97,12.5,60,100,13,58,66,38,86,36,0,61,42,35,92
81,97,12.7,60,100,18,67,94,43,134,34,0,57,53,32,132
82,97,10.0,60,100,18,70,43,85,92,26,1,53,95,15,113
83,97,11.0,60,100,9,57,67,26,113,20,0,36,23,25,132
84,97,10.0,60,100,15,73,45,78,125,80,2,122,117,9,103
85,97,12.0,60,100,14,50,58,67,137,71,0,110,79,12,114
86,97,10.5,60,100,9,58,31,29,238,31,0,54,28,16,195
