0[[2, 2, 7, 13, 4], [4, 10, 7, 9, 11], [11, 9, 3, 11, 2], [6, 0, 10, 12, 0], [9, 2, 9, 14, 5]]

1[[10, 2, 6, 4, 8], [7, 5, 9, 0, 2], [13, 3, 13, 3, 4], [9, 13, 1, 10, 6], [12, 13, 10, 11, 1]]

2[[0, 9, 10, 4, 12], [6, 9, 3, 5, 0], [10, 3, 2, 11, 3], [12, 8, 1, 4, 4], [10, 9, 2, 10, 2]]

3[[11, 4, 8, 0, 9], [6, 11, 7, 2, 1], [7, 5, 9, 2, 11], [1, 7, 1, 6, 4], [8, 10, 11, 0, 11]]

4[[0, 8, 11, 4, 4], [4, 14, 2, 0, 6], [14, 7, 12, 8, 0], [10, 14, 6, 10, 3], [14, 1, 12, 9, 1]]

5[[4, 12, 5, 9, 6], [2, 10, 10, 1, 2], [2, 12, 9, 12, 14], [11, 5, 1, 10, 5], [10, 5, 6, 11, 3]]

6[[0, 13, 3, 4, 7], [12, 5, 4, 8, 2], [8, 4, 1, 13, 14], [8, 11, 14, 7, 11], [6, 14, 5, 8, 11]]

7[[6, 2, 6, 2, 9], [11, 7, 11, 7, 13], [10, 4, 12, 13, 5], [2, 6, 8, 13, 2], [12, 2, 10, 7, 0]]

8[[5, 1, 11, 12, 14], [4, 5, 10, 12, 6], [6, 6, 14, 0, 12], [5, 1, 8, 4, 13], [1, 1, 4, 10, 8]]
///////
[12, 11, 4, 0, 5] [13, 0, 5, 10, 5] [14, 11, 13, 13, 6] [12, 0, 1, 12, 14] [0, 1, 2, 14, 0] 
///////
9[[8, 4, 1, 14, 5], [2, 7, 6, 14, 14], [13, 8, 9, 9, 7], [5, 0, 9, 10, 5], [13, 6, 11, 2, 11]]

10[[8, 7, 5, 0, 9], [1, 13, 6, 11, 3], [8, 3, 1, 5, 10], [7, 9, 8, 14, 6], [1, 2, 11, 0, 1]]

11[[9, 12, 9, 3, 9], [2, 1, 8, 4, 0], [1, 7, 1, 7, 9], [5, 5, 12, 12, 9], [7, 5, 1, 0, 7]]

12[[9, 6, 14, 13, 2], [12, 13, 13, 12, 13], [13, 11, 6, 2, 14], [3, 3, 3, 3, 7], [3, 6, 13, 6, 9]]

[[4, 14, 0, 6, 14], [4, 9, 14, 3, 14], [0, 1, 12, 13, 5], [14, 0, 7, 14, 2], [1, 0, 14, 4, 0]]

[[0, 11, 1, 13, 11], [7, 10, 11, 4, 6], [14, 8, 13, 1, 5], [8, 13, 4, 11, 4], [4, 9, 1, 1, 2]]

15[[4, 13, 9, 7, 5], [13, 4, 0, 6, 14], [14, 10, 4, 7, 9], [1, 11, 9, 0, 7], [2, 6, 8, 13, 5]]

16[[9, 12, 0, 13, 10], [1, 6, 14, 3, 0], [3, 1, 4, 11, 1], [10, 12, 6, 7, 9], [7, 10, 10, 11, 7]]

17[[10, 9, 10, 12, 3], [6, 10, 5, 2, 3], [3, 9, 14, 8, 0], [3, 12, 8, 10, 8], [0, 7, 12, 1, 0]]

18[[14, 4, 10, 9, 2], [0, 3, 7, 11, 3], [14, 13, 0, 6, 9], [12, 9, 0, 1, 6], [1, 9, 9, 4, 7]]

19[[3, 0, 11, 10, 10], [11, 1, 14, 6, 6], [9, 10, 14, 5, 3], [10, 7, 7, 5, 8], [10, 9, 5, 1, 10]]

20[[12, 3, 0, 5, 13], [13, 8, 10, 6, 0], [12, 9, 3, 4, 5], [1, 14, 9, 1, 3], [10, 2, 4, 11, 1]]

